ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12212260,JD420290,11/03/2020 04:19:00 PM,011XX W JACKSON BLVD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1232,12,25.0,28.0,06,1168933.0,1898798.0,2020,12/17/2020 03:40:05 PM,41.877822179,-87.655181405,"(41.877822179, -87.655181405)"
12691934,JF233685,05/07/2022 03:00:00 PM,046XX S ASHLAND AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,924,9,15.0,61.0,08B,1166449.0,1874039.0,2022,01/03/2023 03:40:27 PM,41.809934604,-87.665009423,"(41.809934604, -87.665009423)"
13674320,JH520823,06/27/2022 10:00:00 AM,084XX S MARSHFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,614,6,18.0,71.0,11,,,2022,11/26/2024 03:41:26 PM,,,
13506481,JH319624,06/24/2024 03:37:00 PM,0000X E GRAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1834,18,42.0,8.0,06,1176796.0,1903917.0,2024,05/17/2025 03:40:52 PM,41.891694878,-87.626155832,"(41.891694878, -87.626155832)"
13235391,JG453933,10/05/2023 12:30:00 PM,053XX S LOOMIS BLVD,0560,ASSAULT,SIMPLE,STREET,False,False,934,9,20.0,61.0,08A,1167902.0,1869441.0,2023,10/13/2023 03:41:35 PM,41.797286045,-87.659812184,"(41.797286045, -87.659812184)"
12300279,JE150709,02/24/2021 08:58:00 AM,045XX W HADDON AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1111,11,37.0,23.0,03,1146015.0,1907271.0,2021,03/03/2021 03:41:07 PM,41.901539134,-87.739115679,"(41.901539134, -87.739115679)"
13196217,JG407220,09/01/2023 06:00:00 PM,009XX W BELLE PLAINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1915,19,46.0,3.0,14,1169377.0,1927571.0,2023,09/09/2023 03:42:35 PM,41.956767213,-87.652712717,"(41.956767213, -87.652712717)"
12148851,JD347594,08/27/2020 10:00:00 PM,063XX S CICERO AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,813,8,13.0,64.0,04A,1145464.0,1862238.0,2020,09/03/2020 03:42:52 PM,41.777972797,-87.742277863,"(41.777972797, -87.742277863)"
12398029,JE270288,06/17/2021 12:00:00 AM,0000X W 40TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,213,2,3.0,38.0,07,1176549.0,1877936.0,2021,06/25/2021 03:39:32 PM,41.820406812,-87.627846915,"(41.820406812, -87.627846915)"
13399317,JH189240,03/15/2024 06:55:00 PM,053XX N BROADWAY,0460,BATTERY,SIMPLE,SIDEWALK,True,False,2023,20,48.0,77.0,08B,1167347.0,1935654.0,2024,12/21/2024 03:40:46 PM,41.978991238,-87.659941972,"(41.978991238, -87.659941972)"
13564955,JH389183,08/15/2024 02:25:00 PM,012XX W 80TH ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,612,6,17.0,71.0,26,1169593.0,1851738.0,2024,05/17/2025 03:40:52 PM,41.748670296,-87.654123771,"(41.748670296, -87.654123771)"
12225417,JD436245,10/31/2020 07:56:00 PM,010XX N MENARD AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1511,15,29.0,25.0,03,1137499.0,1906415.0,2020,12/17/2020 03:40:05 PM,41.899347771,-87.770416965,"(41.899347771, -87.770416965)"
13189704,JG399358,08/27/2023 02:38:00 AM,035XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,911,9,12.0,58.0,14,1158280.0,1881119.0,2023,09/04/2023 03:42:34 PM,41.82953342,-87.694779297,"(41.82953342, -87.694779297)"
12838327,JF409460,09/24/2022 11:15:00 PM,009XX W WINONA ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2024,20,48.0,3.0,03,1169178.0,1934327.0,2022,01/03/2023 03:40:27 PM,41.975310221,-87.653247149,"(41.975310221, -87.653247149)"
12639552,JF170727,02/11/2020 11:00:00 AM,064XX N HAMILTON AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,2412,24,50.0,2.0,10,,,2020,03/12/2022 03:48:05 PM,,,
13826540,JJ243534,05/05/2025 04:30:00 PM,020XX W 79TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,611,6,18.0,71.0,14,1164318.0,1852265.0,2025,05/17/2025 03:40:52 PM,41.750229101,-87.673438518,"(41.750229101, -87.673438518)"
13468116,JH273295,05/19/2024 12:00:00 AM,014XX W GRANVILLE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2433,24,48.0,77.0,11,1165537.0,1941286.0,2024,05/17/2025 03:40:52 PM,41.994484458,-87.666437047,"(41.994484458, -87.666437047)"
13433232,JH230090,04/18/2024 12:41:00 PM,038XX W FILLMORE ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1133,11,24.0,29.0,08A,1150956.0,1895098.0,2024,12/21/2024 03:40:46 PM,41.868039775,-87.721285595,"(41.868039775, -87.721285595)"
12324670,JE180282,03/26/2021 12:02:00 PM,045XX N MAGNOLIA AVE,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1913,19,46.0,3.0,18,1167100.0,1930351.0,2021,04/02/2021 03:40:45 PM,41.964444958,-87.661003374,"(41.964444958, -87.661003374)"
13066941,JG253283,05/08/2023 10:39:00 PM,067XX W 63RD ST,0330,ROBBERY,AGGRAVATED,CONVENIENCE STORE,False,False,812,8,13.0,64.0,03,1132359.0,1861994.0,2023,08/19/2023 03:40:26 PM,41.777540344,-87.790327923,"(41.777540344, -87.790327923)"
13166066,JG371291,08/06/2023 04:50:00 AM,002XX N LAFLIN ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1215,12,27.0,28.0,08B,1166429.0,1901640.0,2023,08/19/2023 03:40:26 PM,41.885674771,-87.664294079,"(41.885674771, -87.664294079)"
12158784,JD359709,09/07/2020 03:00:00 PM,018XX S WOOD ST,0460,BATTERY,SIMPLE,PARK PROPERTY,False,False,1234,12,25.0,31.0,08B,1164661.0,1891216.0,2020,09/14/2020 03:42:30 PM,41.857108058,-87.671081839,"(41.857108058, -87.671081839)"
12128458,JD323931,08/06/2020 03:00:00 PM,010XX N DRAKE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1121,11,27.0,23.0,07,1152520.0,1906682.0,2020,08/13/2020 03:45:26 PM,41.899796734,-87.715237513,"(41.899796734, -87.715237513)"
13148901,JG350976,07/21/2023 11:45:00 PM,014XX E 50TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,222,2,4.0,39.0,03,1186560.0,1872129.0,2023,08/19/2023 03:40:26 PM,41.804240583,-87.591306444,"(41.804240583, -87.591306444)"
13409227,JH201242,03/24/2024 03:00:00 AM,008XX S CARPENTER ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1232,12,34.0,28.0,06,1169473.0,1896561.0,2024,12/21/2024 03:40:46 PM,41.871671959,-87.653263751,"(41.871671959, -87.653263751)"
12634211,JF163609,03/04/2022 06:29:00 PM,070XX S PAXTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,331,3,5.0,43.0,08B,1192095.0,1858790.0,2022,01/03/2023 03:40:27 PM,41.767504543,-87.571440534,"(41.767504543, -87.571440534)"
12010912,JD187875,03/16/2020 06:17:00 PM,079XX S DOBSON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,624,6,8.0,44.0,14,1184601.0,1852590.0,2020,03/27/2020 03:41:53 PM,41.750670013,-87.599102872,"(41.750670013, -87.599102872)"
